"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CMD_harvest","branch_number","CMD_1mon","CMD_3mon","CMD_6mon","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","root_number_commercial","planted_number_plot","plant_type","height","harvest_number","root_type1_5","root_rot_number","germinated_number_plot","starch_content","root_peduncle1_3","root_shape1_6","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0002_61",1,61,4,16,"test"," (Operator: lizbethpino, Time: )","AGF20-C0002","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",3,1,1,3,NA,160,NA,NA,4,NA,10,2,220,7,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0011_53",1,53,3,15,"test"," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )","AGF20-C0011","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,230,NA,NA,5,NA,10,1,275,8,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0014_3",1,3,1,3,"test"," (Operator: lizbethpino, Time: )","AGF20-C0014","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,180,23.4375,15,5,NA,10,2,230,8,NA,5,10,35.12670968,NA,NA,NA,8,100,23.4375,8.23282258125
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0015_62",1,62,4,15,"test"," (Operator: lizbethpino, Time: )","AGF20-C0015","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,2,NA,185,NA,NA,5,NA,10,2,260,8,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0017_33",1,33,2,6,"test"," (Operator: lizbethpino, Time: )","AGF20-C0017","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,3,1,1,NA,90,NA,NA,3,NA,10,4,200,1,NA,1,8,NA,NA,NA,NA,8,80,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0024_27",1,27,2,12,"test"," (Operator: lizbethpino, Time: )","AGF20-C0024","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,150,3.125,2,4,NA,10,2,185,8,NA,6,10,14.01461538,NA,NA,NA,8,100,3.125,0.437956730625
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0026_25",1,25,2,14,"test"," (Operator: lizbethpino, Time: )","AGF20-C0026","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,178,NA,NA,4,NA,10,1,200,6,NA,6,6,NA,NA,NA,NA,8,60,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0040_75",1,75,4,2,"test"," (Operator: lizbethpino, Time: )","AGF20-C0040","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,3,2.5,NA,145,NA,NA,4,NA,10,1,175,7,NA,8,8,NA,NA,NA,NA,8,80,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0046_6",1,6,1,6,"test"," (Operator: lizbethpino, Time: )","AGF20-C0046","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",2,1,1,2,NA,260,21.875,14,5,NA,10,1,310,8,NA,6,10,18.04225899,NA,NA,NA,8,100,21.875,3.9467441540625
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0049_17",1,17,1,17,"test"," (Operator: lizbethpino, Time: )","AGF20-C0049","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",3,2,3,2,NA,230,6.25,4,4,NA,10,2,310,7,NA,7,10,NA,NA,NA,NA,8,100,6.25,NA
